lr,n_iter,accuracy,precision,recall,f1,TP,TN,FP,FN,time_s
0.001,500,0.7124612297026091,0.6711205587610082,0.8176100628930818,0.7371581054036025,4420,3390,2166,986,0.9060978889465332
0.001,1000,0.7132822477650064,0.6808952837729816,0.7878283388827229,0.730469084984135,4259,3560,1996,1147,1.6831917762756348
0.001,2000,0.7149242838898011,0.6923595884634846,0.7593414724380319,0.7243052492280547,4105,3732,1824,1301,3.2740728855133057
0.01,500,0.7176610107644591,0.7052762480014212,0.7343692193858675,0.7195287720888084,3970,3897,1659,1436,0.7860078811645508
0.01,1000,0.7203065134099617,0.7105073767542281,0.7304846466888643,0.7203575337468078,3949,3947,1609,1457,1.616887092590332
0.01,2000,0.7217661010764459,0.7122522522522523,0.7312245652978172,0.721613727637824,3953,3959,1597,1453,3.439188003540039
0.1,500,0.7245028279511038,0.7156543745480839,0.7323344432112467,0.7238983360760651,3959,3983,1573,1447,0.8911418914794922
0.1,1000,0.7284254698047802,0.7194218608852755,0.7365889752127266,0.7279042135088201,3982,4003,1553,1424,1.7622499465942383
0.1,2000,0.7318007662835249,0.7227239884393064,0.7401035886052534,0.731310546518004,4001,4021,1535,1405,3.4875850677490234
